date,Grocery,Fashion,Electronics,Sports,Beauty
2025-04-13,7,17,5,55,29
2025-04-20,8,18,5,54,29
2025-04-27,7,18,5,56,30
2025-05-04,7,19,5,57,29
2025-05-11,7,19,5,53,30
2025-05-18,7,18,5,53,29
2025-05-25,7,17,5,53,30
2025-06-01,7,17,5,53,31
2025-06-08,7,17,6,53,30
2025-06-15,7,17,6,50,31
2025-06-22,8,17,6,50,31
2025-06-29,9,17,6,49,30
2025-07-06,8,18,6,48,31
2025-07-13,8,18,6,51,33
2025-07-20,9,19,8,52,31
2025-07-27,9,20,8,53,33
2025-08-03,10,23,8,58,37
2025-08-10,11,25,9,66,37
2025-08-17,10,23,9,64,36
2025-08-24,9,23,8,65,36
2025-08-31,10,25,8,65,36
2025-09-07,8,24,8,64,37
2025-09-14,9,25,9,70,38
2025-09-21,9,26,9,71,62
2025-09-28,10,28,9,70,38
2025-10-05,9,24,11,61,35
2025-10-12,9,35,12,60,34
2025-10-19,9,24,9,64,35
2025-10-26,8,22,8,64,33
2025-11-02,9,22,8,65,77
2025-11-09,9,22,9,62,100
2025-11-16,10,25,10,69,40
2025-11-23,12,27,11,71,43
2025-11-30,9,28,11,73,39
2025-12-07,10,27,10,70,38
2025-12-14,9,27,9,71,37
2025-12-21,14,23,7,62,37
2025-12-28,11,23,7,63,35
2026-01-04,9,23,8,65,35
2026-01-11,9,25,8,70,35
2026-01-18,10,24,9,66,39
2026-01-25,10,27,10,65,46
2026-02-01,10,31,11,74,47
2026-02-08,11,46,13,83,46
2026-02-15,11,49,11,84,39
2026-02-22,9,37,11,76,39
2026-03-01,9,25,9,68,38
2026-03-08,9,25,9,59,39
2026-03-15,10,25,9,65,46
2026-03-22,9,28,11,71,48
2026-03-29,9,27,10,65,42
2026-04-05,8,27,9,66,39
2026-04-12,7,24,9,61,39
